mid_date,mapping,area_count,v_mean,date_dt,poly_area,pixel_area,pixel_overlap
1985-03-29 14:30:57.925833024,0,0,,49 days 23:47:26.557617189,16192932.039827878,0.0,0.0
1985-04-14 14:30:54.476366976,0,1136,876.7641,31 days 23:59:48.299560549,16206426.88465883,16358400.0,1.0093773363137206
1985-04-30 14:30:49.844966976,0,1021,779.47797,31 days 23:59:48.629150387,16200771.336701877,14702400.0,0.9075123458284109
1985-05-16 14:30:48.072455040,0,0,,46 days 00:12:13.666992189,15955329.180955587,0.0,0.0
1985-05-16 14:30:48.975867072,0,673,929.2571,95 days 23:59:36.928710936,15955329.180955587,9691200.0,0.6073958042537597
1985-07-03 14:30:35.615649024,0,149,674.3624,49 days 23:47:21.613769531,16240162.57024697,2145600.0,0.13211690404693843
1985-07-09 14:42:27.567102016,0,0,,79 days 23:59:30.336914063,16224391.922541495,0.0,0.0
1985-07-09 14:42:32.756688000,0,0,,33 days 23:47:24.909667972,16224391.922541495,0.0,0.0
1985-07-09 14:42:33.616228928,0,0,,15 days 23:59:53.161010738,16224391.922541495,0.0,0.0
1985-08-02 14:42:16.918160000,0,0,,81 days 23:46:52.939453126,15962155.380161617,0.0,0.0
1985-08-02 14:42:19.160264064,0,0,,63 days 23:59:24.404296873,15962155.380161617,0.0,0.0
1985-08-02 14:42:20.493289024,0,0,,46 days 00:11:56.528320315,15962155.380161617,0.0,0.0
1985-08-02 14:42:21.433766976,0,0,,31 days 23:59:42.366943360,15962155.380161617,0.0,0.0
1986-04-17 14:25:59.019940992,0,1135,695.54095,31 days 23:59:15.340576171,15988582.8999333,16344000.0,1.02222943098154
1987-05-06 14:24:08.975955008,0,0,,49 days 23:49:02.797851558,16114007.3314545,0.0,0.0
1988-03-28 14:36:50.364867968,0,0,,14 days 00:12:27.592163089,15650571.239039399,0.0,0.0
1988-04-04 14:42:39.881410048,0,0,,14 days 00:12:25.449829099,15726607.034167752,0.0,0.0
1988-04-29 14:36:40.433411968,0,0,,64 days 00:00:26.367187495,15818024.627198493,0.0,0.0
1989-04-09 14:29:30.389364992,0,1133,739.05475,31 days 23:59:54.561767576,16097434.278748816,16315200.0,1.0135279770353633
1989-04-09 14:29:36.988871936,0,932,684.7232,17 days 23:47:36.774902342,16097434.278748816,13420800.0,0.8337229255048179
1989-04-25 14:29:21.759917952,0,302,657.9437,46 days 00:11:42.355957027,15902875.189723132,4348800.0,0.2734599843184528
1990-05-21 14:26:58.568957056,0,881,1026.0465,49 days 23:47:36.115722657,15869072.255750332,12686400.0,0.7994418196314498
1990-05-30 14:20:49.736589952,0,0,,17 days 23:47:35.291748045,15691610.137105903,0.0,0.0
1990-06-15 02:48:12.610126976,0,0,,24 days 23:53:48.387451171,15814589.968700182,0.0,0.0
1990-06-15 14:20:47.693154944,0,0,,14 days 00:12:20.588378909,15814589.968700182,0.0,0.0
1994-05-16 14:25:54.127053952,0,0,,17 days 23:47:18.977050783,17423011.474480193,0.0,0.0
1994-05-25 14:19:56.870557056,0,1256,374.74442,17 days 23:47:18.812255856,17168511.39925742,18086400.0,1.0534634936831087
1994-06-03 02:40:58.143048960,0,0,,56 days 23:52:38.679199216,17021989.978139263,0.0,0.0
1994-06-19 02:40:40.345640960,0,0,,24 days 23:53:14.439697261,17076709.52301726,0.0,0.0
1994-07-03 14:24:47.947143936,0,0,,63 days 23:58:22.770996090,17128977.967571642,0.0,0.0
1994-07-12 14:18:22.847033984,0,0,,95 days 23:57:38.276367189,17098354.21687494,0.0,0.0
1994-07-12 14:18:48.227124992,0,1118,522.5215,78 days 00:10:23.583984378,17098354.21687494,16099200.0,0.9415643047160153
1994-08-20 14:23:36.490776960,0,0,,49 days 23:46:20.969238279,17340933.381019995,0.0,0.0
1994-08-20 14:23:36.703236992,0,0,,78 days 00:10:16.992187495,17340933.381019995,0.0,0.0
1994-08-20 14:24:00.398761984,0,1209,255.3871,78 days 00:10:16.992187495,17340933.381019995,17409600.0,1.0039597994797191
1995-06-20 14:12:45.961591040,0,1075,921.49115,63 days 23:57:06.306152342,17716025.640857123,15480000.0,0.873785143113569
1998-05-04 14:37:53.095452032,0,101,328.85147,32 days 00:00:28.674316405,16145088.053091612,1454400.0,0.09008312591528406
1998-09-09 14:39:14.534398976,0,1026,656.3606,64 days 00:00:26.367187495,16322898.062278075,14774400.0,0.9051333864629942
1999-08-01 15:05:26.136582016,0,0,,46 days 00:12:29.157714846,17259299.037531227,0.0,0.0
1999-08-01 15:05:50.032700032,0,0,,46 days 00:12:29.157714846,17259299.037531227,0.0,0.0
2000-04-29 15:04:47.312337920,0,0,,95 days 23:59:17.153320315,17638474.39507139,0.0,0.0
2000-04-29 15:04:47.418302976,0,0,,17 days 23:47:30.183105468,17638474.39507139,0.0,0.0
2000-04-29 15:05:11.737624960,0,0,,78 days 00:11:35.434570315,17638474.39507139,0.0,0.0
2000-05-08 14:58:35.694531968,0,0,,17 days 23:47:25.898437495,17466988.01338964,0.0,0.0
2000-05-08 14:58:57.640420992,0,1016,865.33856,95 days 23:59:07.265625,17466988.01338964,14630400.0,0.8376029106326058
2000-05-17 14:52:39.343719040,0,728,710.25415,14 days 00:12:12.431030270,17886082.466360137,10483200.0,0.5861093405845935
2000-06-25 14:58:07.788865024,0,0,,17 days 23:47:23.920898441,17278337.634758398,0.0,0.0
2000-06-25 14:58:24.537447936,0,999,979.41644,81 days 23:46:38.437500,17278337.634758398,14385600.0,0.8325800956141087
2000-06-25 14:58:24.647552000,0,126,1117.4762,95 days 23:58:56.718750,17278337.634758398,1814400.0,0.10501010214952723
2000-06-25 14:58:31.664459008,0,1258,1177.5874,17 days 23:47:23.920898441,17278337.634758398,18115200.0,1.0484341944770257
2000-07-04 14:52:08.256595968,0,778,1057.6569,81 days 23:46:45.688476558,17076496.927932717,11203200.0,0.6560596149948338
2000-08-05 03:19:13.843266048,0,0,,56 days 23:53:05.375976558,17088942.340891287,0.0,0.0
2000-09-13 14:57:25.159975040,0,1172,601.4966,17 days 23:47:18.317871090,17809673.79996331,16876800.0,0.9476198267053475
2001-03-15 15:02:50.065602944,0,0,,14 days 00:12:12.760620117,17334209.199987236,0.0,0.0
2001-03-24 14:56:35.198162944,0,0,,14 days 00:12:15.232543945,17030174.788295068,0.0,0.0
2001-05-18 15:02:19.713454976,0,0,,95 days 23:59:13.857421873,17014548.90010537,0.0,0.0
2001-05-18 15:02:52.142658048,0,0,,17 days 23:47:27.052001954,17014548.90010537,0.0,0.0
2001-05-20 03:17:54.082987008,0,0,,24 days 23:53:31.743164063,17042960.40396384,0.0,0.0
2001-06-12 14:56:24.328724992,0,1170,960.9094,49 days 23:47:09.089355468,16900725.19356883,16848000.0,0.9968802999300354
2001-07-07 14:49:54.978881024,0,938,945.06824,78 days 00:11:24.887695315,17201690.582746737,13507200.0,0.7852251460416162
2001-07-07 14:49:57.750988160,0,759,830.7154,14 days 00:12:21.659545900,17201690.582746737,10929600.0,0.6353794092170434
2001-07-14 14:55:36.874472960,0,0,,63 days 23:59:13.198242189,16622190.786840707,0.0,0.0
2001-07-14 14:56:00.747800064,0,1141,928.5627,63 days 23:59:13.198242189,16622190.786840707,16430400.0,0.9884617623934059
2001-07-14 14:56:07.436116992,0,1237,843.75507,14 days 00:12:17.045288089,16622190.786840707,17812800.0,1.0716276950750596
2001-07-21 15:02:08.178573952,0,0,,78 days 00:11:28.183593747,16596860.907710303,0.0,0.0
2001-07-30 14:55:50.662040960,0,776,801.8467,95 days 23:58:53.422851558,16280633.98190119,11174400.0,0.6863614778406251
2001-07-30 14:55:53.008422016,0,1171,846.117,31 days 23:59:28.853759765,16280633.98190119,16862400.0,1.0357336218445514
2001-07-30 14:55:56.091365120,0,1190,914.0336,17 days 23:47:20.295410153,16280633.98190119,17136000.0,1.0525388642143605
2001-08-08 14:49:32.072269952,0,460,711.587,78 days 00:11:30.161132810,16102731.378422594,6624000.0,0.4113587840679039
2001-08-08 14:49:35.658267008,0,1173,793.3487,14 days 00:12:03.532104495,16102731.378422594,16891200.0,1.0489648993731548
2001-09-07 15:01:45.847069056,0,1034,657.0832,95 days 23:59:00.014648441,16682255.439556489,14889600.0,0.8925411826924916
2002-03-27 14:55:10.507600000,0,0,,17 days 23:47:38.422851558,16929653.149137184,0.0,0.0
2002-03-27 14:55:34.401857152,0,846,857.32385,17 days 23:47:38.422851558,16929653.149137184,12182400.0,0.7195894619152828
2002-04-03 15:01:23.420935936,0,0,,14 days 00:12:22.153930666,16834364.965142466,0.0,0.0
2002-04-03 15:01:26.824004992,0,0,,49 days 23:47:32.490234378,16834364.965142466,0.0,0.0
