,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,2000-05-01,3390.5,0.818
1,2000-05-17,3316.1,0.824
2,2001-05-11,3552.3,0.894
3,2001-06-05,3436.6,0.818
4,2001-07-07,3923.4,0.827
5,2001-07-14,4043.0,0.856
6,2001-08-08,3498.5,0.818
7,2002-05-30,3438.5,0.903
8,2002-06-24,3380.5,0.868
9,2003-04-15,3417.3,0.867
10,2004-04-17,3009.7,0.863
11,2009-04-24,3173.9,0.835
12,2009-05-17,2970.8,0.857
13,2009-09-06,2910.3,0.805
14,2010-04-18,2666.8,0.866
15,2011-04-14,2951.8,0.836
16,2011-05-23,2663.2,0.845
17,2011-08-11,2881.4,0.889
18,2012-08-13,2951.1,0.853
19,2013-03-25,2753.6,0.832
20,2013-03-27,2865.4,0.918
21,2013-03-28,2932.5,0.923
22,2013-04-04,2692.0,0.888
23,2013-04-07,2633.1,0.904
24,2013-04-10,2661.8,0.877
25,2013-04-22,2770.0,0.887
26,2013-05-01,2857.8,0.927
27,2013-05-08,2608.3,0.929
28,2013-05-16,3078.3,0.932
29,2013-05-24,2796.9,0.926
30,2013-06-01,2831.2,0.914
31,2013-06-17,2946.4,0.922
32,2015-05-21,2570.6,0.835
33,2015-08-11,2981.0,0.937
37,2016-03-31,2977.6,0.936
39,2016-04-21,2726.0,0.825
40,2016-04-30,2995.9,0.946
41,2016-05-03,2700.5,0.827
42,2016-05-10,2912.5,0.941
43,2016-05-27,3017.2,0.946
44,2016-06-06,3105.8,0.933
46,2016-06-16,3182.8,0.939
49,2016-07-03,3031.0,0.935
51,2016-07-13,3043.3,0.922
53,2016-07-16,3092.2,0.937
57,2016-07-19,3225.1,0.94
59,2016-07-26,3045.2,0.923
63,2016-07-29,3031.5,0.933
65,2016-08-05,3042.5,0.934
68,2016-08-08,2911.4,0.931
71,2016-08-12,2995.7,0.946
73,2016-09-04,3017.4,0.92
77,2016-09-07,3050.0,0.953
79,2016-10-01,3022.3,0.954
80,2016-10-03,2901.7,0.94
81,2016-10-06,2558.9,0.846
82,2016-10-09,2801.8,0.928
83,2016-10-15,2799.6,0.938
84,2016-10-21,2828.0,0.904
85,2016-10-27,2832.7,0.901
86,2016-11-02,2958.4,0.94
87,2016-11-08,2615.9,0.849
88,2016-11-14,2776.7,0.882
89,2016-11-20,2726.0,0.867
90,2016-11-26,2754.6,0.911
91,2016-12-02,2738.1,0.89
92,2016-12-08,2770.6,0.899
93,2016-12-14,2734.5,0.955
94,2016-12-20,2631.5,0.914
95,2016-12-26,2646.4,0.925
96,2017-01-01,2611.8,0.918
97,2017-01-25,2570.5,0.87
98,2017-01-27,2659.3,0.848
99,2017-01-31,2482.0,0.817
100,2017-02-02,2505.6,0.848
101,2017-02-03,2443.7,0.823
102,2017-02-08,2454.7,0.826
103,2017-02-09,2487.9,0.844
104,2017-02-12,2690.2,0.893
105,2017-02-15,2662.1,0.901
106,2017-02-18,2481.9,0.822
107,2017-02-21,2625.7,0.895
108,2017-02-24,2696.2,0.927
109,2017-03-06,2867.5,0.933
111,2017-03-08,2791.4,0.857
112,2017-03-20,2760.0,0.918
113,2017-03-26,2572.9,0.863
114,2017-04-01,2770.9,0.91
115,2017-04-13,2585.3,0.897
116,2017-04-19,2624.7,0.874
117,2017-05-01,2784.9,0.833
118,2017-05-07,2880.2,0.912
119,2017-05-10,2437.2,0.815
120,2017-05-13,2718.3,0.925
121,2017-05-16,2621.5,0.887
122,2017-05-19,2771.2,0.91
123,2017-05-25,2734.1,0.897
124,2017-05-28,2531.3,0.854
125,2017-05-29,2832.0,0.94
127,2017-05-31,2684.5,0.894
128,2017-06-06,2811.8,0.905
129,2017-06-08,2944.9,0.953
132,2017-06-12,2934.0,0.896
133,2017-06-18,2846.2,0.896
134,2017-06-24,2949.1,0.867
